Symbol	Ensembl Transcript ID	CDS Length
C9orf152	uc011lwk.2	720
ELMO2	uc010zxr.1	2199
RPS11	uc002pob.2	477
CREB3L1	uc021qil.1	1710
PNMA1	uc001xor.1	1062
MMP2	uc002ehz.4	1983
TMEM216	uc021qkf.1	447
TRAF3IP2-AS1	uc021zdt.1	339
C10orf90	uc010qum.2	2391
ZHX3	uc010ggg.1	2910
ERCC5	uc001vpw.3	3561
GPR98	uc003kju.3	18921
CTAGE10P	uc001vdk.2	2328
RXFP3	uc003jic.2	1410
APBB2	uc003gvn.3	2280
KLHL13	uc011mtp.2	1977
KRTAP10-8	uc002zfo.1	780
PDCL3	uc002tao.2	720
AEN	uc002bmt.2	978
DECR1	uc003yek.1	1008
SALL1	uc021tif.1	3684
CADM4	uc002oxc.1	1167
RPS18	uc003odp.1	459
SLC10A7	uc010ioz.2	1077
CFHR5	uc001gts.4	1710
OR2K2	uc011lwp.2	951
BRIX1	uc003jja.3	1062
LMAN1	uc002lhz.3	1533
CHD8	uc001war.2	7746
SUMO1	uc002uyz.1	306
GP1BA	uc021tnz.1	1959
UQCR11	uc002ltm.3	171
DDB1	uc001nrc.5	3423
MYO9B	uc010eak.3	6474
MMP7	uc001phb.3	804
CRNKL1	uc002wrs.3	2547
XAB2	uc002mgx.3	2568
RTN1	uc001xen.1	2331
KLHL14	uc002kxm.1	1887
ADAM21P1	uc010ttg.2	1398
TBX10	uc001omp.3	1158
UTY	uc022ckf.2	4335
CENPQ	uc003ozh.1	807
ZBTB12	uc003nyd.1	1380
ZAR1L	uc010abc.1	966
DTNBP1	uc003nbm.3	1056
KBTBD8	uc003dmy.3	1806
ZEB1	uc001ivu.4	3378
ZG16	uc002dtr.4	504
FAT4	uc003ifj.4	14946
MIER1	uc001dde.2	1698
CHD9	uc002ehb.3	8694
STK16	uc002vko.2	918
ARID3C	uc011lon.2	1239
TOB2	uc003azz.1	1035
INIP	uc004bgg.3	315
BANK1	uc003hvy.4	2358
OR2V2	uc011dhj.2	948
SFTA2	uc003nsf.3	237
LOC100288142	uc021ott.2	14886
GRM2	uc010hlv.3	2619
PROSC	uc003xkh.3	828
SPIN2B	uc004duy.3	777
PIR	uc004cwu.3	873
IPO9	uc001gwz.3	3126
EVC	uc003gil.1	2979
CXCL13	uc003hkr.3	330
KIAA1199	uc002bfw.1	4086
SORL1	uc001pxx.3	6645
NAT10	uc001mvk.3	3078
CHD1	uc003knf.3	5133
SYN3	uc003amx.3	1743
SLC22A2	uc003qtf.3	1668
SERPINF1	uc002ftl.3	1257
WDR34	uc004bvq.1	1611
OR7A17	uc010xob.2	930
POTED	uc002yjb.1	1755
EPT1	uc021veu.1	1194
LHB	uc002plt.3	426
TAOK3	uc001twx.3	2697
STK25	uc002wbm.4	1281
OR10X1	uc010pin.2	981
CDC25B	uc002wjn.3	1743
BMP3	uc003hmg.4	1419
TMEM180	uc001kvt.3	1554
MAP1LC3C	uc001hzk.2	444
CRYGC	uc002vco.4	525
BX537921	uc002czb.3	456
POU3F1	uc001ccp.1	1356
HIGD1B	uc031rau.1	300
USP6NL	uc001iks.1	2538
ABCD4	uc001xpr.2	1821
C11orf93	uc031qea.1	756
TEK	uc003zqi.4	3375
SLC25A46	uc003koz.3	1257
LARP7	uc003iaz.4	1770
CD160	uc001eol.1	546
NUTM2G	uc022bkp.1	2226
PHF20	uc002xek.1	3039
CPNE4	uc011blq.2	1728
GTPBP1	uc003awg.3	2010
RAB33B	uc003ihv.3	690
ALDOC	uc002hbp.3	1095
ZNF212	uc003wfp.3	1488
NUDT1	uc003slp.1	540
RFPL2	uc003amg.3	1137
ZNF83	uc002pzu.4	1551
GDPD5	uc001owo.4	1818
PDCD4	uc001kzh.3	1410
CEP350	uc001gnt.3	9354
ARL14EPL	uc021yct.1	459
CST7	uc002wtx.2	438
OR10A2	uc001meu.1	912
CIAO1	uc002svs.3	1020
SELL	uc001ggk.3	1158
OR8J3	uc010riz.2	948
RNF223	uc021oeo.1	750
LTBP4	uc002ooh.1	4872
DCAF4L1	uc003gwk.2	1191
OR6C1	uc010spi.2	939
SIRT6	uc002lzo.3	1068
CCL19	uc003zvn.3	297
PPIL1	uc003omu.2	501
GBP7	uc001dna.2	1917
ABR	uc002fsd.4	2580
STK17A	uc003tih.3	1245
FOXE1	uc004axu.3	1122
PCDHA13	uc003lif.2	2853
SIAH3	uc001vap.3	810
GML	uc003yxg.3	477
CD38	uc003gol.1	903
CNGA3	uc010fij.3	2097
ZDHHC6	uc001kzv.3	1242
NEFH	uc003afo.3	3063
CTDSP2	uc001sqm.3	816
PGBD5	uc031psq.1	1575
ZNF257	uc010ecx.3	1692
CCNY	uc001iyw.4	1026
RMND5B	uc011dgf.2	1305
C11orf88	uc009yyd.3	591
EXOSC7	uc003coi.2	876
ROR2	uc004arj.2	2832
MAOA	uc004dfy.4	1584
TNNT3	uc001luu.4	777
GYPC	uc002tnq.4	387
C7orf33	uc003wew.3	534
AP4B1-AS1	uc001edv.2	300
RNF4	uc003gfb.3	573
EMC1	uc001bbo.4	2982
F8A1	uc004fmv.3	1116
HDAC7	uc010slo.2	2976
PLEKHG4	uc002eso.4	3576
GRB2	uc002jnx.4	654
AGPHD1	uc010unc.2	1122
DUS3L	uc002mdc.3	1953
HIST1H2AD	uc003ngw.4	393
EIF1	uc002hxj.3	342
CHST15	uc001lhm.4	1686
FPGT	uc001dgb.2	1785
RASA4B	uc003uzt.2	2412
GDF10	uc001jfb.3	1437
GPN2	uc001bnd.1	933
COQ9	uc002elq.3	957
TRAPPC9	uc003yvh.2	3741
GCC2	uc002tec.3	5055
RARRES3	uc001nxf.4	495
PLXNA1	uc003ejg.3	5691
KIAA0100	uc002hbu.3	6708
FNDC1	uc010kjv.3	5685
PMF1	uc021pba.1	624
HS2ST1	uc010osk.2	1071
CRELD2	uc010hal.2	1209
CD82	uc001myc.3	804
C8G	uc004cka.2	609
PIRT	uc010col.3	414
SPINK14	uc003loz.2	294
LIM2	uc002pwl.2	648
MMP16	uc003yeb.4	1824
DRD3	uc003ebd.2	1203
OR4M2	uc010tzu.2	942
C11orf73	uc001pbu.3	594
PTP4A2	uc001bty.2	504
OGFR-AS1	uc031rum.1	306
HPCA	uc001bwh.3	582
SEC14L1	uc021udw.1	2160
METTL25	uc001szq.3	1812
CHFR	uc001ulf.2	1995
NME8	uc003tfn.3	1767
EMILIN1	uc002rii.4	3051
NDUFS4	uc003jpe.2	528
COL18A1	uc002zhi.3	4560
PDZD3	uc001pwb.3	1716
FAXC	uc003ppj.4	1230
C9orf16	uc004btp.1	252
ERBB2IP	uc011cqx.2	4260
FUS	uc002ebf.3	1581
EMX2	uc001ldh.4	759
TF	uc003epu.2	2097
CXorf56	uc004erk.2	669
CLCN4	uc004csy.4	2283
C11orf72	uc001omi.1	756
ELAC2	uc002gnz.4	2481
CELA1	uc001ryi.1	777
NPR1	uc001fcs.4	3186
ASS1	uc010mza.3	1467
USP42	uc011jwo.1	3975
EMC8	uc002fjd.3	633
SEC23IP	uc001leu.2	3003
POLR2J	uc003uzp.1	354
UQCRC1	uc003cub.1	1443
LOC729603	uc003qtb.3	345
ERVV-2	uc021uzd.1	1608
POLG	uc002bns.4	3720
ADAM23	uc002vbq.4	2499
TFR2	uc003uvv.1	2406
RICTOR	uc003jlo.2	5199
GRXCR2	uc003lns.1	747
C19orf55	uc021usz.1	1443
IDO2	uc010lwy.1	1263
HLA-J	uc021yty.1	441
SNAPC1	uc001xft.3	1107
GNA11	uc002lxd.3	1080
FSIP1	uc001zki.3	1746
CELA3A	uc001bfl.3	813
UPF3A	uc001vup.3	1431
IGSF11	uc003ebw.3	1296
LAGE3	uc004fln.1	432
CHST6	uc021tlj.1	1188
UNC13B	uc003zwr.3	4833
TTLL4	uc002viy.3	3600
ZNF687	uc001exq.3	3714
SDC2	uc003yhv.1	606
COX7A2	uc003phv.2	348
METTL21A	uc002vcf.2	657
LAMB4	uc010ljo.1	5286
FAM24A	uc001lgv.3	318
PDP1	uc031tbs.1	1767
GPHB5	uc021rud.1	390
LRRTM3	uc001jmz.1	1746
AHCYL2	uc011kov.2	1836
IZUMO2	uc002prp.1	666
OR4C13	uc010rhz.2	930
TRIM64C	uc021qiy.1	1353
TCRBV9S1A1T	uc003vxf.3	339
HABP4	uc010msg.3	1242
TMEM125	uc021omm.1	660
CNTN2	uc001hbr.3	3123
AK125594	uc002wpc.3	375
ASNSD1	uc002uqt.3	1932
FUT4	uc001pez.3	1593
HLA-DQB	uc011hzx.2	441
RP9	uc003tdm.3	666
ARAP1	uc001osu.3	4353
EU250752	uc011biu.1	435
CDH8	uc002eog.2	2400
AGPS	uc002ull.2	1977
PP14571	uc002vyy.1	654
LINC00305	uc010dqk.2	339
UNG	uc001tnz.2	942
BC038382	uc021qdb.1	762
GSTP1	uc001omf.3	633
DCUN1D5	uc001phm.3	714
SLC9A3R1	uc002jlo.4	1077
FAM218A	uc003iqx.1	474
LILRA6	uc002qek.1	1899
CHMP7	uc003xdc.2	1362
REM2	uc001whf.1	1023
DNHD1	uc001mdw.4	14262
FKBP4	uc001qkz.3	1380
ZNF350	uc002pyd.3	1599
C19orf67	uc031rjr.1	1077
BST1	uc003goh.4	957
KISS1R	uc002lqk.4	1197
NCR2	uc003oqh.2	831
DEFB125	uc002wcw.3	471
UBE2W	uc003xzu.4	576
OR2T29	uc001ieo.2	948
KRT15	uc002hwy.3	1371
C10orf99	uc001kcu.3	246
SCN11A	uc021wvy.1	5376
GFI1	uc001dou.4	1269
FHL1	uc004ezo.3	972
OSGEP	uc001vxf.3	1008
GATA1	uc004dkq.4	1242
SMC6	uc002rco.3	3276
LPIN3	uc010ggh.3	2559
RPL4	uc002apv.3	1284
LOC100506172	uc002fcn.4	285
RBPMS	uc011lba.1	675
PRPF3	uc001eum.4	2052
EMR1	uc002mfw.4	2661
SPATA19	uc001qgv.1	504
IRX3	uc002eht.1	1506
XCR1	uc003cpe.3	1002
ELFN1	uc010ksg.2	2487
RBM6	uc003cyc.3	3372
CYSTM1	uc003lfd.3	294
KLF4	uc004bdh.3	1515
IFITM10	uc021qbs.2	687
LOC729177	uc003ndm.2	255
C16orf71	uc002cxn.3	1563
UNC5CL	uc003opi.3	1557
SEBOX	uc010wai.1	651
BTK	uc010nno.2	2082
KRCC1	uc021vko.1	780
PRND	uc021waf.1	531
SYTL5	uc004ddx.3	2259
PIGL	uc002gpv.3	759
MOB1B	uc011cba.2	666
DNAJC30	uc003tys.1	681
HUS1	uc003tod.2	843
HID1	uc002jmj.4	2367
C17orf77	uc002jla.1	732
FXYD2	uc001prl.3	438
UIMC1	uc021yil.1	2160
ZNF667	uc002qne.3	1833
PTGES3L-AARSD1	uc010whg.2	1761
ZCCHC12	uc004equ.3	1209
ATP7B	uc001vfw.2	4398
TFEC	uc003vhj.2	1044
C2orf78	uc002sjr.1	2769
ABCC6P1	uc002dfg.3	963
POLD2	uc003tkf.5	1515
C1orf145	uc031psn.1	342
ACOT2	uc001xon.5	1452
ECRP	uc021ror.1	405
HIST1H4I	uc003niy.1	312
PPARGC1A	uc031seb.1	2412
ETFA	uc002bbt.2	1002
ZNF146	uc002odq.4	879
POLRMT	uc002lpf.1	3693
MIA2	uc001wux.3	1965
KLHL6	uc003flr.3	1866
LOC440311	uc031quc.1	630
HOXB5	uc002inr.3	810
NENF	uc001hjd.3	519
ARGFX	uc003eef.3	948
PRSS22	uc002cry.1	954
CASC4	uc001ztp.3	1311
GTSF1	uc001sgb.3	504
CUL4B	uc004esw.3	2742
CENPJ	uc001upt.5	4017
PITX1	uc010jea.3	945
AKIRIN1	uc001ccw.3	579
CELSR3	uc003cuf.1	12561
LCN15	uc004cjd.3	555
DNAJC9	uc001jtr.3	783
ZNF568	uc002ofc.3	1935
ITSN1	uc002yta.1	5166
EHBP1L1	uc001oeo.4	4572
DCTN1	uc002skx.3	3837
LIN28B	uc003pqv.2	753
TNKS2	uc001khp.3	3501
TMEM241	uc002kuf.3	891
C1QBP	uc002gby.1	849
DUX4L3	uc031pxw.1	1275
AK055145	uc001vsc.2	504
CADPS2	uc022akp.1	3891
SRMS	uc002yfi.1	1467
GJA9	uc021olr.1	1548
TRIM45	uc001egz.2	1743
OSER1	uc002xlk.3	879
TCP1	uc003qsr.3	1671
TMED7	uc003krf.3	675
CMA1	uc001wpp.1	744
