Symbol	Ensembl Transcript ID	CDS Length
C9orf152	uc004beo.2	657
ELMO2	uc002xrt.1	2163
RPS11	uc002pob.1	477
CREB3L1	uc001ncf.1	1557
PNMA1	uc001xor.1	1062
MMP2	uc002ehz.2	1983
TMEM216	uc001nrn.1	264
AK124171	uc003ptq.1	1605
C10orf90	uc001ljq.1	2100
ZHX3	uc010ggg.1	2910
ERCC5	uc001vpu.1	4239
GPR98	uc003kju.1	18921
RXFP3	uc003jic.1	1410
APBB2	uc003gvn.1	2280
KLHL13	uc004eql.1	1968
KRTAP10-8	uc002zfo.1	780
PRSSL1	uc002lpl.1	852
BX648696	uc002kqr.2	1068
KIAA1977	uc002cxm.1	921
PDCL3	uc002tao.2	720
AEN	uc002bmt.1	978
DECR1	uc003yek.1	1008
FRG2	uc003izv.1	837
SALL1	uc002egt.2	3975
CADM4	uc002oxc.1	1167
RPS18	uc003odp.1	459
SLC10A7	uc010ioz.1	1077
CFHR5	uc001gts.2	1710
OR2K2	uc004bfd.1	951
LMAN1	uc002lhz.1	1533
CR606007	uc002dbn.1	366
CHD8	uc001was.1	6909
SUMO1	uc002uyz.1	306
GP1BA	uc010cks.1	1920
DKFZp434B1272	uc001uiv.1	663
DDB1	uc001nrc.2	3423
MYO9B	uc010eak.1	6474
MMP7	uc001phb.1	804
CRNKL1	uc002wrs.1	2547
XAB2	uc002mgx.1	2568
KIAA0681	uc002xkp.1	483
RTN1	uc001xen.1	2331
KLHL14	uc002kxm.1	1887
TBX10	uc001omp.1	1158
UTY	uc004fsx.1	4044
CENPQ	uc003ozh.1	807
ZBTB12	uc003nyd.1	1380
DTNBP1	uc003nbm.1	1056
KBTBD8	uc003dmy.1	1806
ZEB1	uc001ivu.2	3378
FAT4	uc003ifj.2	14946
MIER1	uc001ddd.1	1608
CHD9	uc002ehb.1	8694
STK16	uc002vkq.1	1053
ARID3C	uc003zuy.1	1239
eIF2B delta subunit	uc002rkd.1	954
DKFZp434L057	uc003xxm.1	759
KIAA1486	uc002voe.2	1962
TOB2	uc003azz.1	1035
BANK1	uc003hvy.2	2358
LOC643896	uc010fis.1	339
OR2V2	uc003mmu.1	948
SFTA2	uc003nsf.1	237
GRM2	uc010hlv.1	2619
PROSC	uc003xkh.1	828
SPIN2B	uc010nkk.1	777
PIR	uc004cwu.1	873
PAT1	uc010ddl.1	1545
IPO9	uc001gwz.1	3126
EVC	uc003gil.1	2979
CXCL13	uc003hkr.1	330
KIAA1199	uc002bfw.1	4086
SORL1	uc001pxx.2	6645
NAT10	uc001mvk.1	3078
CHD1	uc003knf.1	5133
SYN3	uc003amx.1	1743
SLC22A2	uc003qte.1	1668
SERPINF1	uc002ftl.1	1257
WDR34	uc004bvq.1	1611
BC036876	uc003adg.2	330
OR7A17	uc002mzy.1	930
POTED	uc002yjb.1	1755
C9orf11	uc003zql.1	885
KIAA0320	uc002alc.2	2808
LHB	uc002plt.1	426
TAOK3	uc001twx.1	2697
STK25	uc002wbm.1	1281
OR10X1	uc001fsr.1	981
C3orf39	uc003cmq.1	1743
CDC25B	uc002wjn.1	1743
DKFZp586E0820	uc010eks.1	846
BMP3	uc003hmg.2	1419
TMEM180	uc001kvt.1	1554
MAP1LC3C	uc001hzk.1	444
CRYGC	uc002vco.2	525
BX537921	uc002czb.2	456
POU3F1	uc001ccp.1	1356
HIGD1B	uc002ihm.1	300
USP6NL	uc001iks.1	2538
ABCD4	uc001xpr.1	1821
DIMT1L	uc003jta.1	942
TEK	uc003zqi.2	3375
SLC25A46	uc003koz.1	1257
LARP7	uc003iaz.1	1770
CD160	uc001eol.1	546
PHF20	uc002xek.1	3039
CPNE4	uc003eol.1	1728
AY187250	uc010kvs.1	273
GTPBP1	uc003awg.1	2010
DKFZp781E0833	uc002zqs.2	921
RAB33B	uc003ihv.1	690
ALDOC	uc002hbp.1	1095
ZNF212	uc003wfp.1	1488
NUDT1	uc003slp.1	540
H10BH	uc003pjq.1	384
RFPL2	uc003amg.2	1137
ZNF83	uc010eqa.1	1551
GDPD5	uc001owo.2	1818
PDCD4	uc001kzh.1	1410
CEP350	uc001gnt.1	9354
CST7	uc002wtx.1	504
OR10A2	uc001meu.1	912
CIAO1	uc002svs.1	1020
SELL	uc001ggl.1	1128
OR8J3	uc001nij.1	948
LTBP4	uc002ooh.1	4872
OR6C1	uc001sgu.1	939
BC139743	uc009vsi.1	1401
SIRT6	uc002lzo.1	1068
CCL19	uc003zvn.1	297
DKFZp761I1011	uc003ftf.2	849
AAG4	uc010lux.1	945
PPIL1	uc003omu.1	501
GBP7	uc001dna.2	1917
KIAA0339	uc002eae.1	867
ANKRD56	uc003hki.1	2382
ABR	uc002fsd.1	2580
STK17A	uc003tih.1	1245
FOXE1	uc004axu.1	1122
PCDHA13	uc003lif.1	2853
SIAH3	uc001vap.1	810
RIMBP3B	uc002zuq.2	4920
hSSH-2	uc010csc.1	537
GML	uc003yxg.1	477
CD38	uc003gol.1	903
CNGA3	uc010fij.1	2097
AK095458	uc001gzk.1	456
ZDHHC6	uc001kzv.1	1242
NEFH	uc003afo.1	3063
CTDSP2	uc001sqm.1	816
PGBD5	uc001htv.1	1665
ZNF257	uc010ecx.1	1692
CCNY	uc001iyw.2	1026
RMND5B	uc003mim.1	1182
FLJ22167	uc002fek.1	1038
C11orf88	uc009yyd.1	591
EXOSC7	uc003coi.2	876
ROR2	uc004arj.1	2832
MAOA	uc004dfy.1	1584
LOC284804	uc002wxx.2	438
TNNT3	uc001luu.2	777
GYPC	uc002tnq.1	387
PLIN	uc002boh.1	1569
C7orf33	uc003wew.1	534
LOC90826	uc003ilc.1	2538
RNF4	uc003gfb.1	573
HDAC7	uc001rqj.2	2865
PLEKHG4	uc002eso.2	3576
GRB2	uc002jnx.2	654
DUS3L	uc002mdc.1	1953
HIST1H2AD	uc003ngw.1	393
EIF1	uc002hxj.1	342
C3orf66	uc003dxn.1	396
FPGT	uc001dgb.1	1785
CCT8L1	uc003wlc.2	1674
GDF10	uc001jfb.1	1437
GPN2	uc001bnd.1	933
COQ9	uc002elq.1	957
TRAPPC9	uc003yvh.1	3741
KIAA0773	uc010loz.1	903
GCC2	uc002tec.1	5055
RARRES3	uc001nxf.2	495
PLXNA1	uc003ejg.1	5622
KIAA0100	uc002hbu.1	6708
FNDC1	uc010kjv.1	5685
PMF1	uc001fnq.1	618
HS2ST1	uc001dmd.1	1071
CRELD2	uc010hal.1	1209
CD82	uc001myc.1	804
C8G	uc004cka.2	609
PIRT	uc010col.1	414
LIM2	uc002pwl.1	648
MMP16	uc003yeb.2	1824
DRD3	uc003ebd.2	1203
OR4M2	uc001yud.1	942
C11orf73	uc001pbu.1	594
PTP4A2	uc001bty.1	504
HPCA	uc001bwh.1	582
SEC14L1	uc010dhc.1	2160
CHFR	uc001ulf.1	1995
EMILIN1	uc002rii.2	3051
NDUFS4	uc003jpe.2	528
COL18A1	uc002zhi.1	4560
PDZD3	uc001pwb.1	1716
PCDHX	uc004efi.2	627
C9orf16	uc004btp.1	252
